ID,Caseid,Activity,Urgency,Impact,Priority,StartDate,EndDate,TicketStatus,UpdateDateTime,Duration,Origin,Class
99,CS_161665,Design,1,1,1,2023-02-22,2023-03-26,"In Process","2024-05-03 16:27:38",32,"Rona E.",Change
100,CS_161524,Test,1,1,1,2023-03-27,2023-04-28,"On Hold","2024-05-03 16:27:38",32,"Rona E.",Change
101,CS_255701,Design,2,3,4,2023-05-08,2023-05-22,"In Process","2024-05-03 16:27:38",14,"Joe S.",Incident
102,CS_749288,Test,1,1,1,2023-04-18,2023-04-22,Open,"2024-05-03 16:27:38",4,"Bill B.",Problem
103,CS_416745,"Password Reset",3,2,4,2023-04-11,2023-04-18,Open,"2024-05-03 16:27:38",7,"Joe S.",Incident
104,CS_125246,"Password Reset",2,3,4,2023-01-25,2023-02-25,Open,"2024-05-03 16:27:38",31,"George E.",Incident
105,CS_876988,Construction,1,1,1,2023-03-07,2023-05-20,Deployed,"2024-05-03 16:27:38",74,"Joe S.",SR
106,CS_129459,"Password Reset",3,3,5,2023-05-04,2023-06-06,Open,"2024-05-03 16:27:38",33,"Joe S.",Change
107,CS_830285,Construction,3,1,3,2023-03-28,2023-05-03,"Deployed Failed","2024-05-03 16:27:38",36,"Joe S.",Incident
108,CS_594299,Construction,1,3,3,2023-03-21,2023-04-11,"Deployed Failed","2024-05-03 16:27:38",21,"Rona E.",Change
109,CS_160728,Design,1,3,3,2023-04-13,2023-06-10,Open,"2024-05-03 16:27:38",58,"George E.",Incident
110,CS_637815,Construction,2,3,4,2023-04-26,2023-05-07,"In Process","2024-05-03 16:27:38",11,"Rona E.",Change
111,CS_964008,Test,2,3,4,2023-05-10,2023-07-24,"Deployed Failed","2024-05-03 16:27:38",75,"Joe S.",Problem
112,CS_734617,Construction,2,1,2,2023-06-11,2023-06-26,Open,"2024-05-03 16:27:38",15,"Achmed M.",Incident
113,CS_624195,"Password Reset",3,3,5,2023-06-21,2023-07-03,Open,"2024-05-03 16:27:38",12,"Bill B.",Incident
114,CS_624340,Design,3,1,3,2023-02-02,2023-03-18,Open,"2024-05-03 16:27:38",44,"Bill B.",Incident
115,CS_460199,"Password Reset",1,3,3,2023-02-04,2023-03-23,"Deployed Failed","2024-05-03 16:27:38",47,"Rona E.",Change
116,CS_362833,"Password Reset",1,3,3,2023-03-29,2023-03-31,Open,"2024-05-03 16:27:38",2,"Achmed M.",SR
117,CS_422011,Test,2,2,3,2023-02-08,2023-04-10,Deployed,"2024-05-03 16:27:38",61,"Rona E.",Incident
118,CS_140394,Test,2,1,2,2023-06-28,2023-08-28,Deployed,"2024-05-03 16:27:38",61,"Bill B.",Incident
119,CS_322122,Test,3,2,4,2023-03-07,2023-03-09,"On Hold","2024-05-03 16:27:38",2,"Bill B.",Problem
120,CS_672137,Construction,3,1,3,2023-01-03,2023-01-16,Deployed,"2024-05-03 16:27:38",13,"George E.",Incident
121,CS_776062,Construction,2,2,3,2023-04-02,2023-07-08,Open,"2024-05-03 16:27:38",97,"Rona E.",Incident
122,CS_654454,Test,3,3,5,2023-01-25,2023-04-28,Open,"2024-05-03 16:27:38",93,"Bill B.",SR
123,CS_586078,Test,2,3,4,2023-04-17,2023-05-28,"On Hold","2024-05-03 16:27:38",41,"Joe S.",Change
124,CS_134650,Design,1,3,3,2023-03-18,2023-06-05,"On Hold","2024-05-03 16:27:38",79,"Rona E.",Problem
125,CS_889748,Design,3,3,5,2023-05-16,2023-08-18,Deployed,"2024-05-03 16:27:38",94,"Bill B.",Incident
126,CS_734342,Design,2,3,4,2023-02-06,2023-03-09,Open,"2024-05-03 16:27:38",31,"Rona E.",Change
127,CS_123298,Design,3,1,3,2023-06-25,2023-07-30,"Deployed Failed","2024-05-03 16:27:38",35,"Bill B.",SR
128,CS_640421,Test,3,1,3,2023-06-24,2023-09-26,"In Process","2024-05-03 16:27:38",94,"Rona E.",Incident
129,CS_441428,Design,2,2,3,2023-02-06,2023-02-19,Deployed,"2024-05-03 16:27:38",13,"Joe S.",Incident
130,CS_497312,"Password Reset",2,2,3,2023-06-02,2023-07-20,"Deployed Failed","2024-05-03 16:27:38",48,"George E.",SR
131,CS_882164,Construction,1,3,3,2023-03-15,2023-03-23,"In Process","2024-05-03 16:27:38",8,"Rona E.",Change
132,CS_547923,Test,1,3,3,2023-04-04,2023-04-28,"In Process","2024-05-03 16:27:38",24,"George E.",SR
133,CS_678725,Test,2,1,2,2023-03-14,2023-04-12,"In Process","2024-05-03 16:27:38",29,"Bill B.",SR
134,CS_625775,Design,2,2,3,2023-01-31,2023-04-29,Open,"2024-05-03 16:27:38",88,"Achmed M.",SR
135,CS_445127,Design,1,1,1,2023-04-17,2023-07-13,"On Hold","2024-05-03 16:27:38",87,"Achmed M.",Change
136,CS_897852,Design,2,2,3,2023-03-15,2023-04-28,"On Hold","2024-05-03 16:27:38",44,"George E.",Change
137,CS_374813,Design,1,1,1,2023-02-04,2023-04-26,"Deployed Failed","2024-05-03 16:27:38",81,"Rona E.",Change
138,CS_203938,Construction,3,2,4,2023-03-12,2023-04-17,"In Process","2024-05-03 16:27:38",36,"Achmed M.",Problem
139,CS_517693,Design,2,3,4,2023-03-22,2023-05-06,"In Process","2024-05-03 16:27:38",45,"George E.",Change
140,CS_521358,"Password Reset",3,1,3,2023-05-11,2023-07-31,Deployed,"2024-05-03 16:27:38",81,"Achmed M.",SR
141,CS_784219,"Password Reset",2,2,3,2023-04-25,2023-06-26,"On Hold","2024-05-03 16:27:38",62,"Rona E.",SR
142,CS_414464,"Password Reset",2,2,3,2023-02-09,2023-03-18,"In Process","2024-05-03 16:27:38",37,"George E.",SR
143,CS_760052,Test,1,2,2,2023-01-11,2023-04-08,Deployed,"2024-05-03 16:27:38",87,"Joe S.",Change
144,CS_349499,Design,1,1,1,2023-02-20,2023-04-05,Deployed,"2024-05-03 16:27:38",44,"George E.",SR
145,CS_780099,Construction,1,1,1,2023-05-17,2023-05-18,"Deployed Failed","2024-05-03 16:27:38",1,"George E.",SR
146,CS_963928,"Password Reset",3,3,5,2023-06-28,2023-08-13,Open,"2024-05-03 16:27:38",46,"George E.",Problem
147,CS_748647,"Password Reset",2,2,3,2023-03-11,2023-06-12,"Deployed Failed","2024-05-03 16:27:38",93,"George E.",Change
148,CS_981087,Test,3,1,3,2023-01-22,2023-04-10,Open,"2024-05-03 16:27:38",78,"Bill B.",Incident
149,CS_542904,Design,3,3,5,2023-05-17,2023-05-27,"In Process","2024-05-03 16:27:38",10,"George E.",SR
150,CS_405881,Construction,3,1,3,2023-04-11,2023-06-11,"In Process","2024-05-03 16:27:38",61,"Rona E.",SR
151,CS_294727,"Password Reset",1,1,1,2023-05-16,2023-05-18,Deployed,"2024-05-03 16:27:38",2,"Rona E.",Problem
152,CS_350700,Construction,2,2,3,2023-05-01,2023-06-21,"On Hold","2024-05-03 16:27:38",51,"Rona E.",Incident
153,CS_310578,Design,1,3,3,2023-04-02,2023-05-16,Open,"2024-05-03 16:27:38",44,"Achmed M.",Problem
154,CS_741522,Test,2,3,4,2023-01-22,2023-02-13,Deployed,"2024-05-03 16:27:38",22,"Bill B.",Problem
155,CS_183407,Construction,1,2,2,2023-04-09,2023-04-19,"On Hold","2024-05-03 16:27:38",10,"Rona E.",Problem
156,CS_255411,"Password Reset",1,2,2,2023-05-09,2023-07-19,"Deployed Failed","2024-05-03 16:27:38",71,"Rona E.",Change
157,CS_664493,Construction,2,3,4,2023-02-13,2023-04-13,"On Hold","2024-05-03 16:27:38",59,"Achmed M.",Problem
158,CS_570628,Construction,3,3,5,2023-04-01,2023-07-05,"In Process","2024-05-03 16:27:38",95,"Bill B.",Incident
159,CS_828025,Construction,3,3,5,2023-04-04,2023-05-17,Deployed,"2024-05-03 16:27:38",43,"Bill B.",Change
160,CS_910387,"Password Reset",2,2,3,2023-01-14,2023-04-23,"In Process","2024-05-03 16:27:38",99,"George E.",Incident
161,CS_978977,Construction,2,1,2,2023-05-27,2023-07-28,"Deployed Failed","2024-05-03 16:27:38",62,"Bill B.",Problem
162,CS_799269,Test,3,3,5,2023-05-07,2023-05-22,Deployed,"2024-05-03 16:27:38",15,"Joe S.",SR
163,CS_866040,"Password Reset",3,3,5,2023-05-16,2023-08-04,Open,"2024-05-03 16:27:38",80,"Bill B.",Change
164,CS_226625,"Password Reset",1,2,2,2023-02-06,2023-03-31,Deployed,"2024-05-03 16:27:38",53,"Joe S.",Change
165,CS_853061,"Password Reset",1,1,1,2023-01-21,2023-04-18,Deployed,"2024-05-03 16:27:38",87,"Rona E.",Incident
166,CS_295127,Construction,2,2,3,2023-02-07,2023-03-11,"In Process","2024-05-03 16:27:38",32,"George E.",SR
167,CS_783079,Design,1,2,2,2023-01-25,2023-02-06,Deployed,"2024-05-03 16:27:38",12,"Bill B.",Problem
168,CS_141473,Design,2,1,2,2023-02-12,2023-02-24,"On Hold","2024-05-03 16:27:38",12,"Bill B.",Incident
169,CS_156663,Construction,2,2,3,2023-06-10,2023-07-01,"Deployed Failed","2024-05-03 16:27:38",21,"George E.",Incident
170,CS_472264,Design,3,3,5,2023-03-05,2023-05-13,Deployed,"2024-05-03 16:27:38",69,"Achmed M.",Incident
171,CS_149070,Test,1,1,1,2023-02-16,2023-04-14,"In Process","2024-05-03 16:27:38",57,"Bill B.",Problem
172,CS_853615,Test,3,1,3,2023-03-05,2023-05-27,"Deployed Failed","2024-05-03 16:27:38",83,"George E.",SR
173,CS_750145,"Password Reset",1,2,2,2023-04-18,2023-04-30,"Deployed Failed","2024-05-03 16:27:38",12,"Joe S.",Incident
174,CS_860316,"Password Reset",3,3,5,2023-04-19,2023-05-18,"Deployed Failed","2024-05-03 16:27:38",29,"Joe S.",Incident
175,CS_757873,Construction,3,3,5,2023-06-25,2023-09-23,"In Process","2024-05-03 16:27:38",90,"Bill B.",SR
176,CS_950455,Test,2,1,2,2023-02-04,2023-04-18,"Deployed Failed","2024-05-03 16:27:38",73,"Achmed M.",Incident
177,CS_200135,Construction,3,1,3,2023-05-22,2023-08-25,"In Process","2024-05-03 16:27:38",95,"George E.",SR
178,CS_299050,Test,1,1,1,2023-01-03,2023-04-05,Deployed,"2024-05-03 16:27:38",92,"George E.",Incident
179,CS_397113,"Password Reset",1,1,1,2023-03-15,2023-05-08,Open,"2024-05-03 16:27:38",54,"Bill B.",Change
180,CS_327213,Construction,2,3,4,2023-06-25,2023-10-03,"On Hold","2024-05-03 16:27:38",100,"Achmed M.",Change
181,CS_263136,Test,1,1,1,2023-04-22,2023-07-29,Open,"2024-05-03 16:27:38",98,"Bill B.",Problem
182,CS_682183,Construction,3,3,5,2023-05-08,2023-07-10,Deployed,"2024-05-03 16:27:38",63,"Bill B.",SR
183,CS_220699,Test,3,1,3,2023-06-11,2023-07-30,Open,"2024-05-03 16:27:38",49,"Joe S.",Problem
184,CS_948214,Design,2,2,3,2023-02-06,2023-04-22,"In Process","2024-05-03 16:27:38",75,"Rona E.",Problem
185,CS_931257,Design,2,3,4,2023-02-19,2023-05-17,Deployed,"2024-05-03 16:27:38",87,"George E.",SR
186,CS_948430,Construction,2,1,2,2023-01-27,2023-04-20,"In Process","2024-05-03 16:27:38",83,"Achmed M.",Problem
187,CS_187553,Test,1,1,1,2023-04-04,2023-05-17,"In Process","2024-05-03 16:27:38",43,"Achmed M.",Incident
188,CS_931383,"Password Reset",3,1,3,2023-05-26,2023-06-07,"In Process","2024-05-03 16:27:38",12,"Rona E.",Problem
189,CS_737527,Test,3,1,3,2023-03-03,2023-06-08,"Deployed Failed","2024-05-03 16:27:38",97,"Joe S.",Incident
190,CS_578750,Test,2,3,4,2023-06-16,2023-08-09,"On Hold","2024-05-03 16:27:38",54,"Achmed M.",Incident
191,CS_603201,Test,3,2,4,2023-05-10,2023-08-14,Deployed,"2024-05-03 16:27:38",96,"Joe S.",Problem
192,CS_744244,"Password Reset",2,3,4,2023-06-20,2023-07-02,"On Hold","2024-05-03 16:27:38",12,"Achmed M.",Incident
193,CS_741684,Test,2,1,2,2023-05-18,2023-07-23,Deployed,"2024-05-03 16:27:38",66,"George E.",Incident
194,CS_625668,Design,3,2,4,2023-03-24,2023-05-15,Deployed,"2024-05-03 16:27:38",52,"Bill B.",Change
195,CS_922657,Design,2,1,2,2023-03-17,2023-05-11,"In Process","2024-05-03 16:27:38",55,"Bill B.",Incident
196,CS_870644,Construction,1,2,2,2023-02-19,2023-04-28,"On Hold","2024-05-03 16:27:38",68,"Bill B.",Incident
197,CS_108863,Design,2,2,3,2023-04-06,2023-06-17,"In Process","2024-05-03 16:27:38",72,"Rona E.",Problem
198,CS_715765,Construction,1,1,1,2023-06-17,2023-07-08,Deployed,"2024-05-03 16:27:38",21,"Bill B.",Problem
199,CS_972932,"Password Reset",2,2,3,2023-04-01,2023-04-25,"In Process","2024-05-03 16:27:38",24,"George E.",Change
200,CS_289847,Construction,1,2,2,2023-02-06,2023-04-15,Open,"2024-05-03 16:27:38",68,"George E.",Problem
201,CS_453329,Design,2,3,4,2023-03-22,2023-03-25,Open,"2024-05-03 16:27:38",3,"Joe S.",Change
202,CS_541259,Design,2,2,3,2023-04-30,2023-07-19,"Deployed Failed","2024-05-03 16:27:38",80,"Rona E.",Incident
203,CS_173278,"Password Reset",1,1,1,2023-01-22,2023-03-18,Deployed,"2024-05-03 16:27:38",55,"Bill B.",Incident
204,CS_822214,"Password Reset",2,2,3,2023-06-14,2023-07-16,"In Process","2024-05-03 16:27:38",32,"Joe S.",Problem
205,CS_413978,Test,3,1,3,2023-05-30,2023-07-02,"In Process","2024-05-03 16:27:38",33,"Achmed M.",Incident
206,CS_279568,Construction,1,3,3,2023-03-18,2023-06-10,"On Hold","2024-05-03 16:27:38",84,"Achmed M.",Change
207,CS_782268,Construction,1,2,2,2023-04-23,2023-05-30,Open,"2024-05-03 16:27:38",37,"Joe S.",SR
208,CS_835389,Construction,1,2,2,2023-01-22,2023-03-31,"On Hold","2024-05-03 16:27:38",68,"Rona E.",SR
209,CS_719156,Construction,1,1,1,2023-06-08,2023-08-16,Deployed,"2024-05-03 16:27:38",69,"Rona E.",Incident
210,CS_883105,Construction,1,1,1,2023-03-23,2023-04-20,Deployed,"2024-05-03 16:27:38",28,"Bill B.",Problem
211,CS_140703,Test,3,3,5,2023-02-09,2023-05-19,Open,"2024-05-03 16:27:38",99,"George E.",Change
212,CS_475097,Test,3,3,5,2023-03-01,2023-03-23,"Deployed Failed","2024-05-03 16:27:38",22,"Joe S.",Change
213,CS_509292,"Password Reset",2,3,4,2023-02-12,2023-03-31,"On Hold","2024-05-03 16:27:38",47,"Rona E.",Problem
214,CS_780207,Construction,1,3,3,2023-03-03,2023-05-08,"On Hold","2024-05-03 16:27:38",66,"Bill B.",Change
215,CS_380402,Test,1,3,3,2023-03-23,2023-05-23,"Deployed Failed","2024-05-03 16:27:38",61,"Joe S.",Incident
216,CS_951800,Construction,2,2,3,2023-06-23,2023-07-29,"In Process","2024-05-03 16:27:38",36,"Achmed M.",Change
217,CS_768195,Test,3,1,3,2023-04-22,2023-07-09,Open,"2024-05-03 16:27:38",78,"Rona E.",Problem
218,CS_997918,"Password Reset",1,2,2,2023-03-06,2023-03-17,Open,"2024-05-03 16:27:38",11,"Achmed M.",Incident
